feature,correlation
Loan_Amount_Term_Year,0.11766668240321627
Property_Area,0.07098964495497734
Gender,0.06750940125199166
Education,0.06354234684609042
Self_Employed,0.05459286953143798
Income_category,0.0534511828044134
EMI_log,0.051464462371781344
CoapplicantIncome_log,0.012452907791273846
Credit_History,0.012264004805325615
Marital_status,0.011906967527141162
Married,0.011906967527141162
Total_Income_log,0.00815438696716335
ApplicantIncome_log,0.006909692341452693
Dependents,0.0011808153561345418
LoanAmount_log,2.375828582269143e-05
